Total_Emissions,City,Harvey,Event_Type,Event_Start_Date,Y,X,Zip,Total_2017_Events
"23,416",CRANE,YES,EMISSIONS EVENT,8/30/2017,31.475934,-102.698851,79731,6
"2,778",CRANE,NO,EMISSIONS EVENT,8/23/2017,31.5195,-102.684,79731,5
"17,372",CRANE,NO,EMISSIONS EVENT,8/30/2017,31.5195,-102.684,79731,5
"4,229",CRANE,NO,EMISSIONS EVENT,8/23/2017,31.4832,-102.666904,79731,10
"4,594",CRANE,NO,EMISSIONS EVENT,8/23/2017,31.507804,-102.622473,79731,6
"4,276",CRANE,NO,EMISSIONS EVENT,8/23/2017,31.50693,-102.62807,79731,6
"3,146",CRANE,NO,EMISSIONS EVENT,8/23/2017,31.499726,-102.655349,79731,5
"1,915",CRANE,NO,EMISSIONS EVENT,8/23/2017,31.500009,-102.703893,79731,3
"1,371",CRANE,NO,EMISSIONS EVENT,8/23/2017,31.507158,-102.70652,79731,2
"1,180",CRANE,NO,EMISSIONS EVENT,8/25/2017,31.492705,-102.653546,79731,3
"18,649",CRANE,YES,EMISSIONS EVENT,8/30/2017,31.492705,-102.653546,79731,3
"3,952",CRANE,NO,EMISSIONS EVENT,8/23/2017,31.527407,-102.652309,79731,6
"1,460",CRANE,NO,EMISSIONS EVENT,8/25/2017,31.527407,-102.652309,79731,6
"24,561",CRANE,YES,EMISSIONS EVENT,8/30/2017,31.527407,-102.652309,79731,6
126,WELCH,NO,EMISSIONS EVENT,8/29/2017,32.906997,-102.147942,79377,8
"2,991",CRANE,NO,EMISSIONS EVENT,8/23/2017,31.507975,-102.59473,79731,2
"1,095",PENWELL,NO,EMISSIONS EVENT,8/30/2017,31.507118,-102.639766,79776,1
"3,966",CRANE,NO,EMISSIONS EVENT,8/23/2017,31.53327,-102.645122,79731,6
"1,465",CRANE,NO,EMISSIONS EVENT,8/25/2017,31.53327,-102.645122,79731,6
"17,988",CRANE,YES,EMISSIONS EVENT,8/30/2017,31.53327,-102.645122,79731,6
